scenario_id,state,channel,product,product_type,credit_band,dealer_tier,system_kw,battery_attach,annual_kwh,project_cost,dealer_fee_pct,funding_cost_pct,loss_reserve_pct,customer_monthly_payment,rate_card,npv,irr_pct,contribution_margin_bps,margin_gap_bps,competitor_gap_bps,approval_lift_pts,readiness_score,qa_defects,priority_score,customer_savings_year_1,recommendation
SCN-001,CA,Dealer partner,Solar loan,Loan,Prime,National,8.015,Yes,11989,29598.7,0.109,0.057,0.014,237.22,"7.25% APR, 10.9% dealer fee",-2822.22,0.047,-240.776,-745.246,51.637,22.315,49.472,4,179.907,870.1,Raise rate or reduce dealer incentive
SCN-002,CA,Installer platform,Solar loan,Loan,Super prime,National,11.793,No,17548,39819.63,0.111,0.049,0.007,354.39,"8.44% APR, 11.1% dealer fee",9221.31,0.071,150.693,-362.113,33.197,27.821,58.966,6,109.236,1187.32,Raise rate or reduce dealer incentive
SCN-003,CA,New homes,Solar loan,Loan,Prime,National,7.962,No,11537,25743.17,0.106,0.05,0.014,224.6,"8.26% APR, 10.6% dealer fee",648.37,0.052,-115.118,-672.037,-71.141,23.932,48.291,4,161.664,881.26,Raise rate or reduce dealer incentive
SCN-004,CA,Direct homeowner,Solar loan,Loan,Near prime,Regional,7.948,Yes,11856,28098.76,0.097,0.065,0.027,247.54,"8.47% APR, 9.7% dealer fee",-8420.64,0.031,-613.435,-1276.333,-162.013,5.892,45.055,4,250.064,705.16,Raise rate or reduce dealer incentive
SCN-005,CA,Dealer partner,Solar plus storage loan,Loan,Super prime,Regional,10.699,Yes,16029,37589.52,0.117,0.05,0.007,318.46,"7.80% APR, 11.7% dealer fee",6798.44,0.068,105.243,-392.816,-66.563,33.888,59.422,5,105.571,1147.6,Raise rate or reduce dealer incentive
SCN-006,CA,Installer platform,Solar plus storage loan,Loan,Super prime,National,12.332,Yes,19466,47118.91,0.136,0.047,0.007,393.04,"7.43% APR, 13.6% dealer fee",11273.94,0.07,156.034,-416.008,148.311,28.399,57.712,3,136.415,1318.03,Raise rate or reduce dealer incentive
SCN-007,CA,New homes,Solar plus storage loan,Loan,Super prime,National,12.768,Yes,18642,46154.87,0.118,0.049,0.007,388.78,"7.72% APR, 11.8% dealer fee",10018.82,0.07,137.521,-343.192,31.232,29.103,56.93,8,122.369,1113.83,Raise rate or reduce dealer incentive
SCN-008,CA,Direct homeowner,Solar plus storage loan,Loan,Prime,Emerging,7.457,Yes,11569,23244.32,0.13,0.052,0.014,210.88,"8.46% APR, 13.0% dealer fee",297.68,0.054,-127.069,-728.073,-48.91,20.241,51.081,2,150.119,1055.92,Raise rate or reduce dealer incentive
SCN-009,CA,Dealer partner,Operating lease,Lease,Prime,National,12.795,No,19287,45066.16,0.08,0.056,0.014,477.36,"$477/mo, 3.50% escalator",68018.65,0.186,1245.178,713.116,35.61,21.461,84.922,7,46.746,250.77,Reprice to defend installer proposal flow
SCN-010,CA,Installer platform,Operating lease,Lease,Prime,Emerging,7.239,No,10583,19705.44,0.059,0.054,0.014,213.4,"$213/mo, 2.99% escalator",26059.54,0.172,1129.354,611.371,-6.561,25.043,84.841,4,24.8,720.07,Expand into next operating review
