action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,DEA030,escalate,15,2.8,Proposed
ACT0002,DEA001,validate,21,8.9,Proposed
ACT0003,DEA036,validate,11,21.9,In Review
ACT0004,DEA013,validate,29,3.2,Ready
ACT0005,DEA027,document,33,2.4,Proposed
ACT0006,DEA025,prioritize,31,14.8,Complete
ACT0007,DEA017,escalate,5,11.7,In Review
ACT0008,DEA016,monitor,30,8.0,Ready
ACT0009,DEA018,automate,18,10.1,Ready
ACT0010,DEA010,validate,39,3.5,In Review
ACT0011,DEA030,automate,43,11.6,Proposed
ACT0012,DEA017,automate,2,18.2,Proposed
ACT0013,DEA031,validate,3,17.6,Ready
ACT0014,DEA007,validate,21,20.5,Complete
ACT0015,DEA019,prioritize,39,14.4,Complete
ACT0016,DEA003,automate,9,13.8,Proposed
ACT0017,DEA030,prioritize,36,17.9,Complete
ACT0018,DEA014,document,36,3.0,Proposed
ACT0019,DEA010,document,12,10.3,Ready
ACT0020,DEA032,automate,25,19.2,Complete
ACT0021,DEA016,validate,15,23.4,Proposed
ACT0022,DEA009,validate,17,10.1,Proposed
ACT0023,DEA012,escalate,40,9.4,Ready
ACT0024,DEA014,document,30,10.8,Complete
ACT0025,DEA024,monitor,30,9.3,Proposed
ACT0026,DEA032,escalate,11,14.6,Complete
ACT0027,DEA026,document,17,23.2,Proposed
ACT0028,DEA002,automate,18,9.7,In Review
ACT0029,DEA023,document,27,14.4,In Review
ACT0030,DEA003,escalate,7,23.6,In Review
ACT0031,DEA031,monitor,33,7.0,Proposed
ACT0032,DEA014,monitor,39,3.3,Ready
ACT0033,DEA014,validate,30,20.6,Ready
ACT0034,DEA035,automate,10,21.0,Ready
ACT0035,DEA001,monitor,32,17.1,Proposed
ACT0036,DEA035,validate,8,6.8,Ready
ACT0037,DEA016,monitor,28,10.5,Complete
ACT0038,DEA020,document,6,23.3,Ready
ACT0039,DEA001,monitor,28,4.0,Proposed
ACT0040,DEA028,escalate,27,11.0,Proposed
ACT0041,DEA024,escalate,19,11.1,Ready
